"MODE_DSC","CARRIER_TYPE","FREIGHT_RATES_ID","PORTCARRIER_ID"
"AIR   ","V888888883_1",3195,7442
"AIR   ","V888888883_1",3196,7442
"AIR   ","V888888883_1",3197,7442
"AIR   ","V888888883_1",3198,7442
"AIR   ","V888888883_1",3199,7442
"AIR   ","V888888883_1",3200,7442
"AIR   ","V888888883_1",3201,7442
"AIR   ","V888888883_1",3202,7442
"AIR   ","V888888883_1",3203,7442
"AIR   ","V888888883_1",3204,7442
"AIR   ","V888888883_1",3205,7442
"AIR   ","V888888883_1",3206,7442
"AIR   ","V888888883_1",3207,7442
"AIR   ","V888888883_1",3208,7442
"AIR   ","V888888883_1",3209,7442
"AIR   ","V888888883_1",3210,7442
"AIR   ","V888888883_1",3211,7442
"AIR   ","V888888883_1",3212,7442
"AIR   ","V888888883_1",3213,7442
"AIR   ","V888888883_1",3214,7442
"AIR   ","V888888883_1",3215,7442
"AIR   ","V888888883_1",3216,7442
"AIR   ","V888888883_1",3217,7442
"AIR   ","V888888883_1",3218,7442
"AIR   ","V888888883_1",3219,7442
"AIR   ","V888888883_1",3220,7442
"AIR   ","V888888883_1",3221,7442
"AIR   ","V888888883_1",3222,7442
"AIR   ","V888888883_1",3223,7442
"AIR   ","V888888883_1",3224,7442
"AIR   ","V888888883_1",3225,7442
"AIR   ","V888888883_1",3226,7442
"AIR   ","V888888883_1",3227,7442
"AIR   ","V888888883_1",3228,7442
"AIR   ","V888888883_1",3229,7442
"AIR   ","V888888883_1",3230,7442
"AIR   ","V888888883_1",3231,7442
"AIR   ","V888888883_1",3232,7442
"AIR   ","V888888883_1",3233,7442
"AIR   ","V888888883_1",3234,7442
"AIR   ","V888888883_1",3235,7442
"AIR   ","V888888883_1",3236,7442
"AIR   ","V888888883_1",3237,7442
"AIR   ","V888888883_1",3238,7442
"AIR   ","V888888883_1",3239,7442
"AIR   ","V888888883_1",3240,7442
"AIR   ","V888888883_1",3241,7442
"AIR   ","V888888883_1",3242,7442
"AIR   ","V888888883_1",3243,7442
"AIR   ","V888888883_1",3244,7442
"AIR   ","V888888883_1",3245,7442
"AIR   ","V888888883_1",3246,7442
"AIR   ","V888888883_1",3247,7442
"AIR   ","V888888883_1",3248,7442
"AIR   ","V888888883_1",3249,7442
"AIR   ","V888888883_1",3250,7442
"AIR   ","V888888883_1",3251,7442
"AIR   ","V888888883_1",3252,7442
"AIR   ","V888888883_1",3253,7442
"AIR   ","V888888883_1",3255,7442
"AIR   ","V888888883_1",3256,7442
"AIR   ","V888888883_1",3257,7442
"AIR   ","V888888883_1",3258,7442
"AIR   ","V888888883_1",3259,7442
"AIR   ","V888888883_1",3260,7442
"AIR   ","V888888883_1",3261,7442
"AIR   ","V888888883_1",3262,7442
"AIR   ","V888888883_1",3263,7442
"AIR   ","V888888883_1",3264,7442
"AIR   ","V888888883_1",3265,7442
"AIR   ","V888888883_1",3266,7442
"AIR   ","V888888883_1",3267,7442
"AIR   ","V888888883_1",3268,7442
"AIR   ","V888888883_1",3269,7442
"AIR   ","V888888883_1",3270,7442
"AIR   ","V888888883_1",3271,7442
"AIR   ","V888888883_1",3272,7442
"AIR   ","V888888883_1",3273,7442
"AIR   ","V888888883_1",3274,7442
