"PLANTPRODCUST_ID","PRODUCT_ID","PLANT_LOCATION_ID","CUSTOMER"
3847,1699329,14,"Customer_42"
3848,1699327,14,"Customer_42"
3849,1699623,14,"Customer_42"
3850,1699625,14,"Customer_42"
3851,1699248,14,"Customer_42"
3852,1699416,14,"Customer_42"
3853,1699418,14,"Customer_42"
3854,1699419,14,"Customer_42"
3855,1699417,14,"Customer_42"
3856,1699378,14,"Customer_42"
3857,1699553,14,"Customer_42"
3858,1699557,14,"Customer_42"
3859,1699555,14,"Customer_42"
3860,1699311,14,"Customer_42"
3861,1699310,14,"Customer_42"
3862,1666958,23,"Customer_28"
3863,1689457,23,"Customer_28"
3864,1689460,23,"Customer_28"
3865,1666959,23,"Customer_28"
3866,1689461,23,"Customer_28"
3867,1666992,23,"Customer_28"
3868,1666994,23,"Customer_28"
3869,1656944,23,"Customer_21"
3870,1621719,23,"Customer_21"
3871,1617714,23,"Customer_21"
3872,1617826,23,"Customer_21"
3873,1687353,23,"Customer_29"
3874,1687354,23,"Customer_29"
3875,1695862,20,"Customer_36"
3876,1699369,20,"Customer_29"
3877,1699670,20,"Customer_29"
3878,1699540,20,"Customer_29"
3879,1689779,14,"Customer_42"
3880,1689784,14,"Customer_42"
3881,1689782,14,"Customer_42"
3882,1688621,14,"Customer_42"
3883,1688629,14,"Customer_13"
3884,1689551,14,"Customer_13"
3885,1682739,14,"Customer_13"
3886,1682832,14,"Customer_13"
3887,1682835,14,"Customer_13"
3888,1689145,14,"Customer_13"
3889,1696488,14,"Customer_13"
3890,1662317,14,"Customer_13"
3891,1663337,14,"Customer_13"
3892,1696654,14,"Customer_13"
3893,1697072,14,"Customer_13"
3894,1697086,14,"Customer_13"
3895,1682982,14,"Customer_13"
3896,1682983,14,"Customer_13"
3897,1684560,14,"Customer_37"
6488,1696262,19,""
6495,1680697,15,""
6501,1672826,28,""
6509,1685369,28,""
6517,1669083,29,""
6523,1650946,16,""
6531,1661321,16,""
6538,1666750,16,""
6545,1668421,16,""
6552,1675500,16,""
6562,1681954,16,""
6568,1683356,16,""
6573,1683528,16,""
6579,1685599,16,""
6585,1692113,16,""
6591,1696262,16,""
6598,1697086,16,""
6606,1680684,13,""
6612,1682757,13,""
6620,1682802,13,""
6628,1683405,13,""
6634,1683749,13,""
6642,1688589,22,""
3898,1652630,14,"Customer_13"
6649,1689545,22,""
6656,1689780,22,""
6663,1690616,22,""
6671,1692333,20,""
6677,1699670,20,""
6685,1634730,14,""
6693,1642993,14,""
6699,1644308,14,""
6706,1650571,14,""
6714,1651299,14,""
6720,1652080,14,""
6728,1653584,14,""
3899,1668099,14,"Customer_13"
6736,1654623,14,""
6742,1655982,14,""
6750,1657064,14,""
6757,1660153,14,""
6764,1660580,14,""
6771,1660897,14,""
3900,1668127,14,"Customer_13"
3901,1696456,14,"Customer_13"
3902,1700958,14,"Customer_13"
6779,1663337,14,""
6785,1664247,14,""
6793,1666441,14,""
6801,1668097,14,""
6807,1668362,14,""
6815,1668608,14,""
6822,1671426,14,""
6829,1671945,14,""
6836,1672049,14,""
6844,1683739,15,""
6850,1683800,15,""
6858,1684649,15,""
6864,1684752,15,""
3903,1664061,14,"Customer_13"
6872,1685628,15,""
6880,1688092,15,""
6886,1689940,15,""
6894,1697306,15,""
6901,1698108,15,""
6908,1699773,15,""
6915,1699951,15,""
6927,0,19,""
6931,0,23,""
6935,0,27,""
6940,1688877,12,""
6947,1690273,12,""
6954,1692225,12,""
6962,1694560,12,""
6968,1695622,12,""
6976,1697526,12,""
6983,1701324,12,""
6990,1684752,17,""
6997,1681883,21,""
7005,1683407,21,""
