Order_ID,Order_Date,Orig_Port,Carrier,TPT_Day_Count,Service_Level,Ship_Ahead_Day_Count,Ship_Late_Day_Count,Customer,Product_ID,Plant_Code,Dest_Port,Unit_Quant,Weight
1447269446,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,904,2.119333709
1447306610,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1127,3.048866037
1447269521,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1167,3.19759121
1447183433,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,688,1.524433019
1447398543,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,877,2.268058882
1447348970,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,781,1.747520778
1447189369,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1442,4.201486125
1447209486,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,776,1.970608536
1447168979,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1506,4.56
1447152394,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1563,4.56
1447348984,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1665,4.96
1447265719,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1953,5.54
1447348986,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,3133,9.42
1447301267,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1960,5.46
1447369237,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,2285,6
1447195371,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677884,PLANT03,PORT09,4044,10.36
1447152850,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,5555,14.32
1447152806,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,2846,6.92
1447281344,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677877,PLANT03,PORT09,2233,4.636129032
1447321332,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677877,PLANT03,PORT09,2262,4.636129032
1447234929,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677877,PLANT03,PORT09,2301,4.636129032
1447160922,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677877,PLANT03,PORT09,2295,4.636129032
1447189432,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677877,PLANT03,PORT09,4286,7.8
1447391425,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1613321,PLANT03,PORT09,749,2.833970081
1447226354,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1613321,PLANT03,PORT09,961,4.28
1447406878,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1613321,PLANT03,PORT09,3401,17.68
